Parametri non coerenti - tracker UNDIST_NONE - no AICON undist
image 3  91,1339 -1,93938 179,201 1,16589 -0,0947125 35,9912 20 3
image 4  91,2373 -0,825494 179,153 2,20541 -0,417105 40,9195 20 4
image 5  91,2316 -0,789866 179,012 2,20782 -0,416529 40,9206 20 5
image 6  91,2532 -0,79665 179,09 2,20677 -0,416735 40,9189 20 6
image 7  91,1529 -2,5278 -179,834 2,4659 -0,818227 46,1253 20 7
image 8  91,1622 -2,06945 -179,759 2,46878 -0,81331 46,1349 20 8
image 9  91,1404 -2,57074 -179,848 2,46437 -0,81714 46,0931 20 9
image 10  91,1686 -2,17454 178,996 3,19921 -1,13023 51,2134 20 10
image 11  91,1698 -2,45672 179,049 3,19702 -1,13008 51,1693 20 11
image 12  91,1644 -2,37278 179,14 3,19752 -1,12847 51,1797 20 12
image 13  91,0698 -0,795239 179,923 4,93941 -1,14689 56,6422 20 13
image 14  91,0483 -0,572322 -179,794 4,93503 -1,14699 56,6422 20 14
image 15  91,1416 -4,34672 178,508 3,03248 -1,71291 61,1879 20 15
image 16  91,1694 -4,12136 178,541 3,0335 -1,71331 61,1999 20 16
image 17  91,293 -2,57382 -177,84 3,42004 -2,31748 71,2971 20 17
image 18  91,261 -1,12649 -176,971 3,4184 -2,31217 71,3787 20 18
image 19  90,9942 -1,10808 177,016 2,87012 -2,90378 81,5504 20 19
image 20  90,982 -0,427028 176,382 2,8774 -2,90062 81,5824 20 20
image 21  91,2312 -3,76427 -178,294 2,43995 -3,64079 91,3328 20 21
image 22  91,3153 -3,55294 -177,271 2,43938 -3,64329 91,3821 20 22
image 23  91,5031 -5,51331 -172,413 2,89517 -4,20661 102,243 20 23
image 24  91,6555 -5,93773 -171,862 2,89258 -4,20261 102,142 20 24
image 25  91,4327 -8,01576 174,518 2,7278 -4,91645 112,275 20 25
image 26  91,4889 -7,87036 175,09 2,72781 -4,91757 112,413 20 26
image 27  91,7349 -4,77887 -170,972 3,41858 -5,66649 122,35 20 27
image 28  92,1404 -6,39652 -169,873 3,41189 -5,65331 121,911 20 28
image 29  91,3057 4,14441 -170,768 7,28156 6,01777 133,606 20 29
image 30  91,3726 4,25942 -170,351 7,27273 6,0104 133,439 20 30
image 31  92,0375 -8,87677 -166,709 7,26346 6,49728 142,451 20 31
image 32  92,3366 -9,99291 -166,226 7,24426 6,47569 141,974 20 32
image 33  89,856 8,19081 -171,315 8,39439 6,56133 152,066 20 33
image 34  90,3358 5,9567 -173,742 8,45136 6,60492 152,985 20 34
