Parametri	coerenti	con	TOOLBOX	-	azzerate	distorsioni			err		diff (toolbox no dist),(non coerenti)					
image	9.00	0	0	0	0	0	0	20			-0,163	-0,46638	358,861	0,03344	0,028271	-0,935
image	10.00	90,7017	1,11551	142,41	2,04327	-1,27205	39,3499	20			-0,2039	-0,13872	-0,836	0,01997	0,033347	-1,1167
image	11.00	90,6991	1,12722	142,454	2,04329	-1,27007	39,3336	20			-0,1954	-0,27076	-0,699	0,01883	0,032239	-1,1156
image	12.00	90,6957	1,13692	142,425	2,04374	-1,26866	39,3294	20			-0,1964	-0,29699	-0,797	0,01949	0,03204	-1,118
image	13.00	90,7636	1,4348	143,33	3,23569	-1,31986	43,3886	20			0,0208	-0,479798	0,44	0,03094	0,010423	-1,0032
image	14.00	0	0	0	0	0	0	20			0,0194	-0,4203195	-359,611	0,03133	0,010979	-1,0036
image	15.00	90,5592	3,35359	-137,495	1,22512	-1,88897	47,1667	20			0,0607	-1,62689	2,383	0,01527	0,01694	-1,3999
image	16.00	90,5963	3,33066	-137,463	1,22511	-1,89052	47,1537	20			0,0532	-1,6112	2,397	0,01521	0,01745	-1,3978
image	17.00	90,2878	3,79293	-136,768	1,40449	-2,4872	54,405	20			0,0807	-4,65975	-6,016	0,06367	0,01691	-1,7086
image	18.00	90,32	3,71552	-136,738	1,40417	-2,48818	54,407	20			0,0256	-2,596366	-4,839	0,05795	0,02807	-1,6642
image	19.00	90,7948	3,02325	139,336	1,29423	-3,12625	62,2458	20			-0,0373	-2,217085	2,96	0,00158	0,045	-1,9664
image	20.00	90,781	2,98625	139,273	1,29674	-3,1262	62,2549	20			-0,0447	-1,522377	2,592	0,00431	0,04813	-1,9473
image	21.00	91,0013	2,98623	-137,452	0,478592	-3,9088	69,6383	20			0,0893	-2,51109	-357,747	0,020871	0,08386	-2,8899
image	22.00	91,0511	2,94389	-137,395	0,480843	-3,91088	69,6428	20			-0,0997	-1,69982	-2,884	0,045802	0,08065	-2,6651
image	23.00	90,833	3,09256	-137,81	0,681095	-4,55482	78,2103	20			-0,0193	-1,77784	-1,948	0,03373	0,10803	-3,365
image	24.00.00	90,8666	3,11294	-137,738	0,683855	-4,55147	78,1849	20			0,0173	-1,92733	-1,86	0,03231	0,10808	-3,39
image	25.00.00	90,7338	6,63387	-137,974	0,389467	-5,32596	86,3218	20			0,0514	-1,54775	2,218	0,03717	0,14409	-4,113
image	26.00.00	90,7306	6,54029	-137,899	0,390333	-5,32258	86,3413	20			0,0521	-1,59176	2,376	0,0364	0,14423	-4,118
image	27.00.00	91,1935	3,2594	-137,471	0,828257	-6,12998	93,7408	20			-0,0045	-1,71234	-2,752	0,13145	0,01751	-2,634
image	28.00.00	91,4862	2,8888	-137,531	0,835564	-6,1338	93,7505	20			0,0045	-1,68478	-2,299	0,12953	0,01999	-2,689
image	29.00.00	91,0337	-0,697677	-135,989	3,65268	5,68228	102,309	20			-0,6679	9,51918	-3,429	3,80263	11,8084	9,043
image	30.00.00	91,0318	-0,490212	-135,921	3,64825	5,67474	102,164	20			-0,0732	1,56725	-4,084	0,06655	0,12233	-2,853
image	31.00.00	91,3124	-3,70118	-134,967	3,52983	6,16709	108,903	20			0,1445	-3,23432	-3,888	0,07799	0,10922	-3,091
image	32.00.00	91,5376	-4,04411	-135,033	3,53148	6,16411	108,802	20			0,1222	-3,09163	-3,36	0,07026	0,10021	-3,255
image	33.00.00	90,279	-1,04129	-137,525	4,25246	6,23279	117,774	20			0,8551	-1,18545	-7,842	0,18225	0,19739	-1,284
image	34.00.00	90,6036	-1,77751	-137,337	4,25248	6,24192	117,785	20			0,8473	-1,40431	-9,32	0,18515	0,19553	-1,342
																
Parametri	non	coerenti									diff(non coerenti),(toolbox)					
image	1.00	91,0426	-1,68154	179,403	-0,113388	-0,41616	36,8322	20			-0,1384	0,97423	0,052	-0,632546	-0,537344	0,0138
image	2.00	91,0491	-1,42076	179,512	-0,114032	-0,413703	36,8129	20			-0,1393	0,93164	-0,049	-0,631177	-0,537295	0,0115
image	3.00	91,0699	-1,26848	179,713	-0,115085	-0,411725	36,8109	20			-0,1396	0,91195	-0,106	-0,630413	-0,537634	0,0108
image	4.00	91,085	0,581924	179,939	0,756594	-0,780446	41,9436	20			-0,2362	1,116384	0,464	-0,723536	-0,612819	0,0286
